Date,^GSPC,^GDAXI,^FCHI,^N225,^BVSP,^NSEI
2021-05-31,0.6365739296027525,0.6912794421370141,0.4191861745471656,0.48684034892449357,1.0444574520429086,0.1864178798116983
2021-06-30,0.7038526904970215,0.8191218363290345,0.6208485166769343,0.55422034015121,1.3230303472260112,0.3389333792294868
2021-07-31,0.823117469141039,0.8005571161264472,0.5680153806233794,0.423857368893951,1.201277288433799,0.34898118724674926
2021-08-31,0.909076106206558,0.8995711977321321,0.7809359624527903,0.3564954089712717,0.9659875059908359,0.4887305966672589
2021-09-30,0.9010542639701584,0.8050384504045145,0.6798829920675562,0.7044848318590374,0.7010158187495418,0.699800704586599
2021-10-31,0.915496490065403,0.7305100344965966,0.6931138801627994,0.49776768481038197,0.5454009925963,0.8038166642596208
2021-11-30,1.1123416690810293,0.9496505055147242,1.0296520579538262,0.6217961055512862,0.30670903786374726,0.7425529168519412
2021-12-31,1.1193763393668115,0.8063791135746924,1.0166252232542388,0.4863881405303683,0.3727161677594978,0.6318241354619287
2022-01-31,1.0232228534241423,0.8778692918748261,1.1343128595136676,0.3898990539844865,0.40687575878901966,0.7530703007671359
2022-02-28,0.8919464667725779,0.6055985099078097,0.9438013557480233,0.2574822063586676,0.658976687947815,0.642329415311306
2022-03-31,0.8493589121799572,0.16352531851832305,0.5068079744617429,0.18119918807558502,0.7535639728800942,0.5688794115397574
2022-04-30,0.8493881818628303,0.22649330253511105,0.6055917137202865,0.2538152124428073,0.7482974917379446,0.6816543120608807
2022-05-31,0.5151507049338893,0.1550161385157182,0.4041795884043075,0.19221863033574016,0.4515135951599694,0.4481818353839871
2022-06-30,0.380466227805361,-0.004509679815732656,0.21528945254768916,0.24038455154684124,0.28434875033197643,0.37949151823380767
2022-07-31,0.39264079389512685,-0.25740189809996217,0.17488124800874985,0.2448667516472933,0.09351039728085082,0.45387504592229694
2022-08-31,0.6277293526664792,-0.06632776378976243,0.49177686949070715,0.46068448420593,0.544200582609824,0.7141242166362678
2022-09-30,0.33434429316844,-0.3752964871419268,0.1016167629220455,0.3132121201088505,0.571319489220053,0.7071734352686695
2022-10-31,0.2157973615855403,-0.38309010537154276,0.11376891043600976,0.24430684265851127,0.7720760562101416,0.6791155361811457
2022-11-30,0.39812586262175786,0.18645908968023148,0.6043727790098123,0.38979408471241356,0.6270998049940281,0.8629935364888998
2022-12-31,0.3932612557899848,0.22728264370634663,0.6448991060714774,0.28090976332027695,0.4413194579233517,0.8780079034991676
2023-01-31,0.43923974709086167,0.524187611707154,0.9732663878421116,0.1847099746365228,0.5721407308609515,0.7933511513770021
2023-02-28,0.5526042463722924,0.7314524047526588,1.2336073312496325,0.32746299970371084,0.47184899643208844,0.7466862608817255
2023-03-31,0.44676633352039435,0.6737124588241657,1.1708892989079687,0.3565702253470138,0.23219595836047177,0.6422690232776702
2023-04-30,0.5923987493197745,0.8770863273816373,1.4508083155848972,0.4486920602131675,0.290561247557184,0.7408831712665707
2023-05-31,0.6159290099762091,0.9471459304732474,1.3562072179958133,0.7446397300456372,0.4545808939467093,0.8621337884326912
2023-06-30,0.8056501757404384,0.9914452267145284,1.2566330200941682,1.156841811749894,0.8371114384191259,0.9474675594983549
2023-07-31,0.9606109790981907,1.003080792680949,1.33083487431191,1.147302569632462,0.9224927816967686,1.1221597387870088
2023-08-31,0.9123074131332667,0.9050370266160558,1.290048781605494,1.064012357123399,0.8544502110369225,1.0921276612593087
2023-09-30,0.866340254716493,0.8268840207749181,1.2268031701882485,1.1522829509002384,0.8280376133613241,1.1628314029240554
2023-10-31,0.7332932387925118,0.5906450440965563,0.9902250976673432,0.9396730018350548,0.7200118744470985,1.1009470354361417
2023-11-30,0.9148833582043511,0.8243539579257613,1.1667963709922484,1.189393593912811,1.073611352170591,1.1255854818704933
2023-12-31,1.1291659668227225,1.2528842578981367,1.497147506398668,1.2143216324407604,1.3536432791119128,1.4433917858044614
2024-01-31,1.2429227002750356,1.2621985919693748,1.4499041684031124,1.5833303632599636,1.3513056942502721,1.5386976032498494
2024-02-29,1.4405206139708011,1.438808134706314,1.7213525828508238,1.9522904751890118,1.3260165245004294,1.602237694135427
2024-03-31,1.5915845155807686,1.7911598765467434,2.0422427202632574,2.277858258536956,1.2710537491338998,1.6488808455597077
2024-04-30,1.5362683692551953,1.8096017964694981,2.000567285918912,2.1049156651275402,1.2137448248815177,1.7031172191565906
2024-05-31,1.6531611562068345,2.0268043468972845,2.0446574320841138,2.0744674737167497,1.2326036358801677,1.7114480815815274
2024-06-30,1.8245152965358042,1.920592577421735,1.7075941775065342,2.122045751821546,1.0088937791657475,1.8902843045254956
2024-07-31,1.9415331556660018,1.9601476256581347,1.5525649355780657,2.318755639634253,1.2462955167861598,2.120252859208474
2024-08-31,1.8845881362136654,1.8584872511302233,1.3997977777441146,1.8080976588412299,1.4743361707689142,2.1442278202536613
2024-09-30,2.020827485237929,2.1018635912839683,1.5051171918531403,1.8767406858076723,1.51946660962504,2.318470241960763
2024-10-31,2.1837471137498885,2.335807016057648,1.5111804496586951,2.1196656020417035,1.4003201042609872,2.178505659374892
2024-11-30,2.3147963330168535,2.2957688240178644,1.2821174674128795,2.0883310808950135,1.293484651193718,2.013451718247565
2024-12-31,2.398091402489329,2.6805228208297063,1.3405758814922126,2.191321446801919,1.129985025916785,2.0725105371108152
