Date,^GSPC,^GDAXI,^FCHI,^N225,^BVSP,^NSEI
2020-03-31,2652.393632368608,10034.25674715909,4481.844105113636,18974.003813244046,81521.09090909091,9426.311941964286
2020-04-30,2761.9752255394346,10374.506982421875,4425.190502929688,19208.35509672619,77588.75,9063.583333333334
2020-05-31,2919.6084838867187,10993.741015625,4492.473046875,20543.261284722223,81447.75,9192.013055098685
2020-06-30,3104.6609330610795,12313.64806547619,4958.298672762784,22486.934481534092,94450.19047619047,10116.45467862216
2020-07-31,3207.6190962357955,12740.95609714674,4999.886485224185,22529.47433035714,101262.82608695653,10897.695694633152
2020-08-31,3391.7100190662204,12882.407645089286,4962.622907366072,22901.4458984375,101713.42857142857,11318.566685267857
2020-09-30,3365.516671316964,12960.89639559659,4937.401389382102,23306.9458984375,98576.14285714286,11336.702192826704
2020-10-31,3418.6999955610795,12603.100896661932,4843.978204900568,23464.124906994046,97942.0,11789.709495907739
2020-11-30,3548.99248046875,12960.69140625,5335.693359375,25384.867804276317,105215.84210526316,12592.957956414473
2020-12-31,3695.3100142045455,13425.95009765625,5546.824928977273,26772.954367897728,115647.0,13550.440873579546
2021-01-31,3793.7484323601975,13823.258984375,5589.485009765625,28189.06373355263,120126.21052631579,14284.602490234374
2021-02-28,3883.4321160567433,13951.163916015625,5697.5184326171875,29458.7998046875,117464.94444444444,14956.842529296875
2021-03-31,3910.5082795516305,14508.14262058424,5961.945206351902,29315.295686141304,113870.82608695653,14835.09998139881
2021-04-30,4141.176199776785,15236.42744140625,6220.076977539063,29426.752046130954,119249.45,14613.8525390625
2021-05-31,4167.849536132812,15305.75,6358.03955078125,28517.088216145832,122219.71428571429,14983.525
2021-06-30,4238.48954634233,15618.97403231534,6574.364568536932,28943.229225852272,128989.95238095238,15733.677201704546
2021-07-31,4363.712797619048,15573.488991477272,6517.689985795455,28118.755859375,126030.95238095238,15783.09765625
2021-08-31,4453.965931285511,15816.081365411932,6746.091819069602,27692.72888764881,120312.63636363637,16470.459449404763
2021-09-30,4445.543317522322,15584.468616832386,6637.691384055398,29893.56865234375,113872.95238095238,17508.614304315477
2021-10-31,4460.707077752976,15401.868071056548,6651.88427734375,28586.19754464286,110091.0,18020.22001953125
2021-11-30,4667.386648995535,15938.779651988636,7012.891823508523,29370.6083984375,104290.0,17718.8923828125
2021-12-31,4674.772771661932,15587.753348214286,6998.917820142663,28514.228249289772,105894.19047619047,17174.26944633152
2022-01-31,4573.815454101563,15762.909970238095,7125.162411644345,27903.988384046053,106724.38095238095,17770.6224609375
2022-02-28,4435.980494449013,15095.82490234375,6920.798999023437,27066.525390625,112851.26315789473,17225.939990234376
2022-03-31,4391.265264096467,14012.71042798913,6452.03224779212,26584.077681107956,115150.04545454546,16864.673874627977
2022-04-30,4391.29599609375,14166.986996299342,6557.998458059211,27043.33369140625,115022.05263157895,17419.360711348683
2022-05-31,4040.3600027901784,13991.862260298296,6341.941850142045,26653.76953125,107809.22727272728,16271.019112723214
2022-06-30,3898.9466843377977,13601.01131924716,6139.317693536932,26958.392223011364,103746.57142857143,15933.16366299716
2022-07-31,3911.7294921875,12981.4052734375,6095.971447172619,26986.7396484375,99108.57142857143,16299.02134486607
2022-08-31,4158.563083814538,13449.552097486414,6435.908245584239,28351.666903409092,110061.82608695653,17579.06494140625
2022-09-30,3850.5204961867557,12692.554154829546,6017.379971590909,27418.9861328125,110720.90476190476,17544.877308238636
2022-10-31,3726.050955636161,12673.459170386905,6030.415690104167,26983.19853515625,115599.95,17406.873663651317
2022-11-30,3917.488595145089,14068.89999112216,6556.690895774148,27903.32451171875,112076.55,18311.283296130954
2022-12-31,3912.3809523809523,14168.920944940477,6600.163853236607,27214.691672585228,107561.47619047618,18385.131924715908
2023-01-31,3960.656530761719,14896.36172762784,6952.406405362216,26606.281455592107,110740.86363636363,17968.745070684523
2023-02-28,4079.6847245065787,15404.176953125,7231.676489257812,27509.115028782893,108303.44444444444,17739.22236328125
2023-03-31,3968.5591457201085,15262.70949388587,7164.398288892663,27693.202059659092,102479.08695652174,17225.64295014881
2023-04-30,4121.467362253289,15760.991644965277,7464.669949001736,28275.821484375,103897.55555555556,17710.6796875
2023-05-31,4146.1731955788355,15932.643243963068,7363.190496271307,30147.52607421875,107883.77272727272,18307.054598721592
2023-06-30,4345.372837611607,16041.180042613636,7256.376353870739,32754.475230823864,117180.52380952382,18726.771391369046
2023-07-31,4508.07548828125,16069.68810453869,7335.973353794643,32694.14482421875,119255.57142857143,19586.00027901786
2023-08-31,4457.358674422554,15829.473080842392,7292.221743376359,32167.380504261364,117601.91304347826,19438.286576704544
